,Predicted,Real
DeMarcus Cousins,C,C
DeMarcus Cousins,C,C
DeMarcus Cousins,C,C
Robert Covington,SF,SF
Allen Crabbe,SG,SG
Jamal Crawford,SG,SG
Jordan Crawford,PG,SG
Jae Crowder,SF,SF
Dante Cunningham,PF,SF
Seth Curry,SG,PG
Stephen Curry,PG,PG
Troy Daniels,SG,SG
Anthony Davis,PF,C
Deyonta Davis,C,C
Ed Davis,C,PF
Dewayne Dedmon,C,C
Sam Dekker,PF,SF
Malcolm Delaney,PG,PG
Matthew Dellavedova,PG,PG
Luol Deng,SF,SF
DeMar DeRozan,SF,SG
Cheick Diallo,PF,PF
Boris Diaw,SF,PF
Gorgui Dieng,PF,PF
Spencer Dinwiddie,PG,PG
Toney Douglas,PG,PG
Goran Dragic,PG,PG
Andre Drummond,C,C
Jared Dudley,SF,PF
Mike Dunleavy,SF,SF
Mike Dunleavy,SF,SF
Mike Dunleavy,SF,SF
Kris Dunn,SG,PG
Kevin Durant,SF,SF
Henry Ellenson,C,PF
Wayne Ellington,SG,SG
Monta Ellis,PG,SG
Joel Embiid,C,C
James Ennis,SF,SF
Tyler Ennis,PG,PG
Tyler Ennis,PG,PG
Tyler Ennis,PG,PG
Tyreke Evans,SG,SF
Tyreke Evans,PG,SF
Tyreke Evans,SG,SF
Dante Exum,SG,PG
Kenneth Faried,PF,PF
Derrick Favors,PF,PF
Kay Felder,PG,PG
Cristiano Felicio,C,C
Raymond Felton,PG,PG
Yogi Ferrell,PG,PG
Yogi Ferrell,PG,PG
Yogi Ferrell,PG,PG
Dorian Finney-Smith,SF,PF
Bryn Forbes,PG,SG
Evan Fournier,SG,SG
Randy Foye,PG,SG
Tim Frazier,PG,PG
Channing Frye,PF,C
Danilo Gallinari,SF,SF
Langston Galloway,SG,PG
Langston Galloway,SG,PG
Langston Galloway,SG,PG
Marc Gasol,PF,C
Pau Gasol,C,C
Rudy Gay,SF,SF
Alonzo Gee,PF,SF
Paul George,SF,SF
Jonathan Gibson,PG,PG
Taj Gibson,PF,PF
Taj Gibson,C,PF
Taj Gibson,PF,PF
Manu Ginobili,SG,SG
Rudy Gobert,C,C
Archie Goodwin,SG,SG
Archie Goodwin,PG,SG
Aaron Gordon,SF,SF
Eric Gordon,SG,SG
Marcin Gortat,C,C
Treveon Graham,SG,SG
Jerami Grant,SF,SF
Jerami Grant,SF,SF
Jerian Grant,SG,PG
Danny Green,SG,SG
Draymond Green,PF,PF
Gerald Green,SF,SF
JaMychal Green,PF,PF
Jeff Green,SF,PF
Blake Griffin,PF,PF
Justin Hamilton,C,C
A.J. Hammons,SF,C
Tim Hardaway,SG,SG
James Harden,PG,PG
Maurice Harkless,SF,SF
Montrezl Harrell,PF,C
Devin Harris,PG,PG
Gary Harris,SG,SG
Joe Harris,SG,SG
Tobias Harris,SF,PF
Andrew Harrison,PG,PG
Udonis Haslem,PF,C
Spencer Hawes,C,PF
Spencer Hawes,C,PF
Spencer Hawes,PF,PF
Gordon Hayward,SF,SF
Gerald Henderson,SG,SG
John Henson,C,C
Juan Hernangomez,PF,PF
Willy Hernangomez,C,C
Mario Hezonja,SF,SF
Roy Hibbert,C,C
Roy Hibbert,C,C
Buddy Hield,SF,SG
Buddy Hield,SF,SG
Buddy Hield,SG,SG
Nene Hilario,PF,C
George Hill,SG,PG
Solomon Hill,SF,SF
Darrun Hilliard,SG,SG
Jrue Holiday,PG,PG
Justin Holiday,SG,SG
Rondae Hollis-Jefferson,PF,SF
Richaun Holmes,C,C
Rodney Hood,SF,SG
Al Horford,PF,C
Dwight Howard,C,C
Marcelo Huertas,PG,PG
Kris Humphries,PF,PF
Serge Ibaka,PF,PF
Serge Ibaka,PF,PF
Serge Ibaka,PF,PF
Andre Iguodala,SF,SF
Ersan Ilyasova,PF,PF
Ersan Ilyasova,PF,PF
Ersan Ilyasova,PF,PF
Joe Ingles,SG,SF
Brandon Ingram,SF,SF
Kyrie Irving,PG,PG
Pierre Jackson,PG,PG
Reggie Jackson,PG,PG
LeBron James,PF,SF
Al Jefferson,C,C
Richard Jefferson,SF,SF
Brandon Jennings,PG,PG
Brandon Jennings,PG,PG
Brandon Jennings,PG,PG
Jonas Jerebko,PF,PF
Amir Johnson,PF,PF
James Johnson,SF,PF
Joe Johnson,SF,SF
Stanley Johnson,SF,SF
Tyler Johnson,SF,PG
Wesley Johnson,PF,SF
Nikola Jokic,PF,C
Damian Jones,C,C
Derrick Jones,SF,SF
James Jones,SF,SF
Terrence Jones,PF,PF
Terrence Jones,PF,PF
Tyus Jones,PG,PG
DeAndre Jordan,C,C
Cory Joseph,SG,SG
Frank Kaminsky,PF,C
Enes Kanter,C,C
Ryan Kelly,PF,PF
Michael Kidd-Gilchrist,PF,SF
Sean Kilpatrick,SG,SG
Brandon Knight,PG,SG
Kyle Korver,SF,SG
Kyle Korver,SG,SG
Kyle Korver,SF,SG
Kosta Koufos,C,C
Mindaugas Kuzminskas,SF,SF
Skal Labissiere,PF,PF
Jeremy Lamb,SF,SG
Nicolas Laprovittola,PG,PG
Joffrey Lauvergne,PF,PF
Joffrey Lauvergne,SF,C
Zach LaVine,SG,SG
Ty Lawson,PG,PG
Jake Layman,SF,SF
Courtney Lee,SG,SG
David Lee,PF,PF
Alex Len,C,C
Kawhi Leonard,SF,SF
Meyers Leonard,C,PF
Jon Leuer,PF,PF
Caris LeVert,SF,SF
DeAndre Liggins,SG,SG
DeAndre Liggins,SG,SG
Damian Lillard,PG,PG
Jeremy Lin,PG,PG
Shaun Livingston,SG,PG
Shawn Long,PF,C
Kevon Looney,PF,C
Brook Lopez,C,C
Robin Lopez,C,C
Kevin Love,PF,PF
Kyle Lowry,PG,PG
Timothe Luwawu-Cabarrot,SG,SF
Trey Lyles,PF,PF
Shelvin Mack,PG,PG
Ian Mahinmi,C,C
Thon Maker,C,C
Boban Marjanovic,C,C
Jarell Martin,PF,PF
Wesley Matthews,SG,SG
Luc Mbah,SF,SF
James Michael,SF,PF
Patrick McCaw,SF,SG
Sheldon McClellan,SF,SG
C.J. McCollum,SG,SG
T.J. McConnell,PG,PG
Chris McCullough,PF,PF
Chris McCullough,C,PF
K.J. McDaniels,SF,SF
K.J. McDaniels,SF,SF
K.J. McDaniels,PF,SF
Doug McDermott,SF,SF
Doug McDermott,SF,SF
Doug McDermott,SF,SF
JaVale McGee,C,C
Rodney McGruder,SF,SG
Ben McLemore,SG,SG
Jordan McRae,SG,SG
Josh McRoberts,PF,PF
Jodie Meeks,SG,SG
Salah Mejri,C,C
Jordan Mickey,C,PF
Khris Middleton,SF,SF
C.J. Miles,SF,SF
Mike Miller,SF,SF
Patty Mills,PG,PG
Paul Millsap,SF,PF
Nikola Mirotic,PF,PF
Greg Monroe,C,C
E'Twaun Moore,SG,SG
Marcus Morris,SF,SF
Markieff Morris,PF,PF
Anthony Morrow,SG,SG
Anthony Morrow,PG,SG
Anthony Morrow,SG,SG
Donatas Motiejunas,PF,PF
Timofey Mozgov,C,C
Emmanuel Mudiay,PG,PG
Shabazz Muhammad,SF,SF
Dejounte Murray,PG,PG
Jamal Murray,SG,SG
Mike Muscala,PF,C
Larry Nance,PF,PF
Shabazz Napier,PG,PG
Maurice Ndour,SF,PF
Jameer Nelson,PG,PG
Raul Neto,PG,PG
Georges Niang,PF,PF
Andrew Nicholson,PF,PF
Andrew Nicholson,PF,PF
Andrew Nicholson,PF,PF
Joakim Noah,C,C
Nerlens Noel,C,C
Nerlens Noel,C,C
Nerlens Noel,C,C
Lucas Nogueira,C,C
Dirk Nowitzki,PF,PF
Jusuf Nurkic,C,C
Jusuf Nurkic,C,C
Jusuf Nurkic,C,C
David Nwaba,SF,SG
Johnny O'Bryant,PF,PF
Kyle O'Quinn,C,C
Daniel Ochefu,C,C
Jahlil Okafor,C,C
Victor Oladipo,SG,SG
Kelly Olynyk,PF,C
Kelly Oubre,SF,SF
Zaza Pachulia,C,C
Georgios Papagiannis,C,C
Jabari Parker,SF,PF
Tony Parker,PG,PG
Chandler Parsons,SF,SF
Patrick Patterson,PF,PF
Chris Paul,PG,PG
Adreian Payne,PF,PF
Cameron Payne,PG,PG
Cameron Payne,PG,PG
Cameron Payne,SG,PG
Elfrid Payton,PG,PG
Gary Payton,PG,PG
Paul Pierce,SF,SF
Marshall Plumlee,C,C
Mason Plumlee,C,C
Mason Plumlee,C,C
Mason Plumlee,C,C
Miles Plumlee,C,C
Miles Plumlee,C,C
Miles Plumlee,C,C
Jakob Poeltl,C,C
Otto Porter,PF,SF
Bobby Portis,PF,PF
Kristaps Porzingis,PF,PF
Dwight Powell,PF,C
Norman Powell,SG,SG
Alex Poythress,PF,PF
Ronnie Price,SG,PG
Tim Quarterman,PG,SG
Chasson Randle,PG,PG
Chasson Randle,PG,PG
Chasson Randle,PG,PG
Julius Randle,PF,PF
Zach Randolph,PF,PF
J.J. Redick,SG,SG
Willie Reed,C,C
Josh Richardson,SG,SG
Malachi Richardson,SG,SG
Austin Rivers,SG,SG
Andre Roberson,SF,SF
Brian Roberts,PG,PG
Glenn Robinson,SF,SF
Thomas Robinson,PF,PF
Sergio Rodriguez,PG,PG
Rajon Rondo,PG,PG
Derrick Rose,SG,PG
Terrence Ross,SF,SF
Terrence Ross,SF,SF
Terrence Ross,SG,SF
Terry Rozier,SF,PG
Ricky Rubio,PG,PG
Damjan Rudez,SG,SF
Brandon Rush,SG,SG
D'Angelo Russell,PG,PG
Domantas Sabonis,PF,PF
Dario Saric,PF,PF
Tomas Satoransky,SG,SG
Dennis Schroder,PG,PG
Luis Scola,PF,PF
Mike Scott,PF,PF
Thabo Sefolosha,SF,SF
Wayne Selden,SG,SG
Wayne Selden,SG,SG
Kevin Seraphin,C,PF
Ramon Sessions,PG,PG
Iman Shumpert,SG,SG
Pascal Siakam,PF,PF
Jonathon Simmons,SG,SG
Kyle Singler,SF,SF
Marcus Smart,SG,SG
Ish Smith,PG,PG
J.R. Smith,SF,SG
Jason Smith,C,C
Tony Snell,SF,SG
Marreese Speights,C,C
Tiago Splitter,PF,C
Nik Stauskas,SG,SG
Lance Stephenson,SG,SG
Lance Stephenson,PG,SG
Lance Stephenson,SF,SG
Rodney Stuckey,PG,PG
Jared Sullinger,C,PF
Jeff Teague,PG,PG
Mirza Teletovic,SF,PF
Garrett Temple,SG,SG
Jason Terry,PG,SG
Isaiah Thomas,PG,PG
Lance Thomas,SF,PF
Hollis Thompson,SF,SG
Hollis Thompson,SF,SG
Hollis Thompson,SF,SG
Klay Thompson,SG,SG
Tristan Thompson,C,C
Marcus Thornton,SG,SG
Anthony Tolliver,PF,PF
Karl-Anthony Towns,C,C
P.J. Tucker,SF,SF
P.J. Tucker,SF,SF
P.J. Tucker,SF,SF
Evan Turner,SF,SF
Myles Turner,C,C
Beno Udrih,PG,PG
Tyler Ulis,PG,PG
Jarrod Uthoff,PF,PF
Jonas Valanciunas,C,C
Denzel Valentine,SG,SG
Fred VanVleet,SG,PG
Anderson Varejao,C,C
Rashad Vaughn,SG,SG
Noah Vonleh,PF,PF
Nikola Vucevic,PF,C
Sasha Vujacic,SF,SG
Dwyane Wade,SG,SG
Dion Waiters,SG,SG
Kemba Walker,SG,PG
John Wall,PG,PG
Taurean Waller-Prince,SF,SF
T.J. Warren,PF,SF
C.J. Watson,PG,PG
Briante Weber,SG,PG
Briante Weber,SG,PG
David West,C,C
Russell Westbrook,PG,PG
Okaro White,SF,PF
Isaiah Whitehead,SG,PG
Hassan Whiteside,C,C
Andrew Wiggins,SF,SF
C.J. Wilcox,PF,SG
Alan Williams,PF,C
Deron Williams,PG,PG
Deron Williams,PG,PG
Deron Williams,PG,PG
Derrick Williams,SG,PF
Derrick Williams,SG,PF
Derrick Williams,SG,PF
Lou Williams,SG,SG
Lou Williams,SG,SG
Lou Williams,SF,SG
Marvin Williams,PF,PF
Reggie Williams,SG,SF
Troy Williams,SG,SF
Troy Williams,SG,SF
Troy Williams,SF,SF
Justise Winslow,SG,SF
Jeff Withey,C,C
Christian Wood,C,PF
Metta World,SG,SF
Brandan Wright,C,PF
Delon Wright,SG,PG
James Young,SG,SG
Joe Young,PG,PG
Nick Young,SF,SG
Thaddeus Young,SF,PF
Cody Zeller,C,PF
Tyler Zeller,C,C
Stephen Zimmerman,C,C
Paul Zipser,SF,SF
Ivica Zubac,C,C
