,Predicted,Real
DeAndre Jordan,C,C
Cory Joseph,SG,SG
Frank Kaminsky,SF,C
Enes Kanter,PF,C
Michael Kidd-Gilchrist,SF,SF
Sean Kilpatrick,SG,SG
Brandon Knight,SG,SG
Kyle Korver,SF,SG
Kyle Korver,SG,SG
Kyle Korver,PF,SG
Kosta Koufos,C,C
Mindaugas Kuzminskas,SG,SF
Jeremy Lamb,PF,SG
Joffrey Lauvergne,PF,PF
Zach LaVine,SG,SG
Ty Lawson,PG,PG
Courtney Lee,SG,SG
David Lee,C,PF
Alex Len,C,C
Kawhi Leonard,SF,SF
Meyers Leonard,SF,PF
Jon Leuer,PF,PF
Caris LeVert,SG,SF
DeAndre Liggins,SG,SG
DeAndre Liggins,SG,SG
Damian Lillard,PG,PG
Jeremy Lin,PG,PG
Shaun Livingston,PG,PG
Brook Lopez,SF,C
Robin Lopez,C,C
Kevin Love,PF,PF
Kyle Lowry,PG,PG
Timothe Luwawu-Cabarrot,SG,SF
Trey Lyles,SF,PF
Shelvin Mack,PG,PG
Wesley Matthews,SG,SG
Luc Mbah,SG,SF
Patrick McCaw,SF,SG
C.J. McCollum,SG,SG
T.J. McConnell,PG,PG
Doug McDermott,SG,SF
Doug McDermott,SG,SF
JaVale McGee,C,C
Rodney McGruder,SF,SG
Ben McLemore,SG,SG
Jodie Meeks,SG,SG
Salah Mejri,C,C
Khris Middleton,SG,SF
C.J. Miles,SG,SF
Patty Mills,PG,PG
Paul Millsap,PF,PF
Nikola Mirotic,PF,PF
Greg Monroe,C,C
E'Twaun Moore,SG,SG
Marcus Morris,SF,SF
Markieff Morris,PF,PF
Anthony Morrow,SG,SG
Timofey Mozgov,C,C
Emmanuel Mudiay,PG,PG
Shabazz Muhammad,SF,SF
Jamal Murray,SG,SG
Mike Muscala,PF,C
Larry Nance,PF,PF
Jameer Nelson,PG,PG
Joakim Noah,C,C
Nerlens Noel,PF,C
Lucas Nogueira,C,C
Dirk Nowitzki,PF,PF
Jusuf Nurkic,PF,C
Jusuf Nurkic,C,C
Kyle O'Quinn,C,C
Jahlil Okafor,PF,C
Victor Oladipo,SG,SG
Kelly Olynyk,SF,C
Kelly Oubre,SF,SF
Zaza Pachulia,C,C
Jabari Parker,C,PF
Tony Parker,PG,PG
Patrick Patterson,PF,PF
Chris Paul,PG,PG
Elfrid Payton,PG,PG
Mason Plumlee,PF,C
Mason Plumlee,C,C
Otto Porter,SF,SF
Bobby Portis,PF,PF
Kristaps Porzingis,PF,PF
Dwight Powell,PF,C
Norman Powell,SG,SG
Julius Randle,PF,PF
Zach Randolph,PF,PF
J.J. Redick,SG,SG
Willie Reed,C,C
Josh Richardson,C,SG
Austin Rivers,SG,SG
Andre Roberson,SG,SF
Glenn Robinson,SF,SF
Sergio Rodriguez,PG,PG
Rajon Rondo,PG,PG
Derrick Rose,PG,PG
Terrence Ross,SF,SF
Terrence Ross,SF,SF
Terrence Ross,SG,SF
Terry Rozier,PG,PG
Ricky Rubio,PG,PG
Brandon Rush,SF,SG
D'Angelo Russell,SG,PG
Domantas Sabonis,PF,PF
Dario Saric,PF,PF
Tomas Satoransky,SF,SG
Dennis Schroder,PG,PG
Thabo Sefolosha,SG,SF
Ramon Sessions,PG,PG
Iman Shumpert,SF,SG
Pascal Siakam,C,PF
Jonathon Simmons,SG,SG
Marcus Smart,PG,SG
Ish Smith,PG,PG
J.R. Smith,SF,SG
Jason Smith,PF,C
Tony Snell,SF,SG
Marreese Speights,PF,C
Nik Stauskas,SF,SG
Jeff Teague,PG,PG
Mirza Teletovic,PF,PF
Garrett Temple,SF,SG
Jason Terry,SG,SG
Isaiah Thomas,PG,PG
Lance Thomas,SF,PF
Hollis Thompson,SF,SG
Klay Thompson,SG,SG
Tristan Thompson,PF,C
Anthony Tolliver,PF,PF
Karl-Anthony Towns,C,C
P.J. Tucker,SF,SF
P.J. Tucker,SF,SF
Evan Turner,SF,SF
Myles Turner,C,C
Tyler Ulis,PG,PG
Jonas Valanciunas,C,C
Denzel Valentine,SF,SG
Noah Vonleh,PF,PF
Nikola Vucevic,C,C
Dwyane Wade,SG,SG
Dion Waiters,SG,SG
Kemba Walker,SG,PG
John Wall,PG,PG
Taurean Waller-Prince,C,SF
T.J. Warren,PF,SF
C.J. Watson,SG,PG
David West,PF,C
Russell Westbrook,PG,PG
Isaiah Whitehead,C,PG
Hassan Whiteside,C,C
Andrew Wiggins,C,SF
Deron Williams,PG,PG
Deron Williams,PG,PG
Derrick Williams,PF,PF
Lou Williams,SG,SG
Lou Williams,PG,SG
Marvin Williams,PF,PF
Nick Young,C,SG
Thaddeus Young,SF,PF
Cody Zeller,C,PF
Paul Zipser,SF,SF
