,Predicted,Real
Allan Houston,SG,SG
Juwan Howard,SF,PF
Troy Hudson,PG,PG
Larry Hughes,SG,SG
Larry Hughes,SG,SG
Larry Hughes,SG,SG
Rick Hughes,PF,PF
Lindsey Hunter,PG,PG
Allen Iverson,SG,SG
Bobby Jackson,PG,PG
Jaren Jackson,SG,SG
Jermaine Jackson,SG,SG
Jim Jackson,SF,SF
Mark Jackson,PG,PG
Sam Jacobson,SG,PG
Sam Jacobson,SG,PG
Antawn Jamison,PF,SF
Harold Jamison,PF,PF
Anthony Johnson,PG,PG
Anthony Johnson,PG,PG
Anthony Johnson,SG,PG
Avery Johnson,PG,PG
Ervin Johnson,C,C
Kevin Johnson,PG,PG
Larry Johnson,SF,PF
Charles Jones,SG,PG
Damon Jones,PG,PG
Damon Jones,PG,PG
Damon Jones,PG,PG
Eddie Jones,SG,SG
Jumaine Jones,SF,SF
Popeye Jones,C,PF
Reggie Jordan,PG,PG
Adam Keefe,PF,C
Shawn Kemp,PF,C
Steve Kerr,PG,PG
Jerome Kersey,SF,SF
Lari Ketner,C,PF
Lari Ketner,PF,PF
Jason Kidd,PG,PG
Gerard King,SF,SF
Kerry Kittles,SG,SG
Brevin Knight,PG,PG
Travis Knight,C,C
Toni Kukoc,SF,SF
Toni Kukoc,SG,SF
Toni Kukoc,SF,SF
Christian Laettner,C,C
Raef LaFrentz,C,C
Andrew Lang,C,C
Trajan Langdon,SG,SG
Rusty LaRue,PG,PG
Tim Legler,SG,SG
Voshon Lenard,SG,SG
Quincy Lewis,SF,SG
Rashard Lewis,SF,SF
Randy Livingston,PG,PG
Grant Long,PF,PF
Luc Longley,C,C
Felipe Lopez,SF,SG
Tyronn Lue,PG,PG
George Lynch,SF,SF
Todd MacCulloch,C,C
Sam Mack,PG,SF
Don MacLean,PF,PF
Corey Maggette,PF,SF
Dan Majerle,SG,SG
Karl Malone,PF,PF
Matt Maloney,PG,PG
Danny Manning,PF,PF
Stephon Marbury,PG,PG
Shawn Marion,PF,SF
Donyell Marshall,PF,PF
Darrick Martin,PG,PG
Jamal Mashburn,SF,SF
Anthony Mason,PF,SF
Tony Massenburg,PF,PF
Vernon Maxwell,SG,SG
Walter McCarty,SF,PF
George McCloud,SG,SF
Jelani McCoy,C,C
Antonio McDyess,PF,PF
Tracy McGrady,SF,SF
Jim McIlvaine,C,C
Jeff McInnis,PG,PG
Derrick McKey,SF,SF
Aaron McKie,SG,SG
Roshown McLeod,SF,SF
Ron Mercer,SG,SG
Ron Mercer,SG,SG
Ron Mercer,SG,SG
Andre Miller,PG,PG
Anthony Miller,PF,PF
Brad Miller,C,C
Oliver Miller,C,C
Reggie Miller,SG,SG
Chris Mills,SF,SF
Terry Mills,PF,PF
Sam Mitchell,SG,SF
Cuttino Mobley,SG,SG
Nazr Mohammed,C,C
Eric Montross,C,C
Mikki Moore,C,C
Alonzo Mourning,C,C
Chris Mullin,SG,SG
Eric Murdock,PG,PG
Gheorghe Muresan,C,C
Lamond Murray,SF,SF
Tracy Murray,SF,SF
Dikembe Mutombo,C,C
Steve Nash,PG,PG
Tyrone Nesby,SF,SG
Rasho Nesterovic,C,C
Johnny Newman,SG,SF
Moochie Norris,PG,PG
Dirk Nowitzki,PF,PF
Jermaine O'Neal,C,C
Shaquille O'Neal,C,C
Charles Oakley,PF,PF
Lamar Odom,SF,SF
Hakeem Olajuwon,C,C
Kevin Ollie,PG,PG
Michael Olowokandi,C,C
Greg Ostertag,C,C
Bo Outlaw,PF,PF
Doug Overton,PG,PG
Billy Owens,SF,PF
Billy Owens,PF,SF
Robert Pack,PG,PG
Scott Padgett,PF,PF
Milt Palacio,PG,PG
Anthony Parker,SF,SG
Cherokee Parks,PF,C
Ruben Patterson,SF,SF
Gary Payton,PG,PG
Anthony Peeler,SG,SG
Will Perdue,C,C
Sam Perkins,PF,PF
Elliot Perry,PG,PG
Chuck Person,PF,SF
Wesley Person,SF,SG
Bobby Phills,SG,SG
Eric Piatkowski,SF,SF
Paul Pierce,SF,SF
Scottie Pippen,SF,SF
Scot Pollard,C,C
Olden Polynice,C,C
Terry Porter,SG,PG
James Posey,SF,SF
Vitaly Potapenko,C,C
Brent Price,PG,PG
Laron Profit,SG,SG
Theo Ratliff,C,PF
Bryant Reeves,C,C
Don Reid,C,PF
Don Reid,C,PF
Don Reid,PF,PF
J.R. Reid,PF,PF
Glen Rice,SF,SF
Mitch Richmond,SG,SG
Isaiah Rider,SG,SG
Clifford Robinson,SF,SF
David Robinson,C,C
Eddie Robinson,SF,SF
Glenn Robinson,SF,SF
Dennis Rodman,PF,PF
Carlos Rogers,PF,C
Rodney Rogers,SF,PF
Roy Rogers,C,PF
Sean Rooks,C,C
Jalen Rose,SF,SF
Malik Rose,PF,PF
Michael Ruffin,PF,PF
Bryon Russell,SF,SF
Arvydas Sabonis,C,C
John Salley,C,C
Detlef Schrempf,SF,SF
Dennis Scott,SF,SF
Malik Sealy,SF,SF
Brian Shaw,SG,SG
Dickey Simpkins,PF,PF
Brian Skinner,C,PF
Joe Smith,C,C
Michael Smith,PF,SF
Steve Smith,SG,SG
Rik Smits,C,C
Eric Snow,PG,PG
Felton Spencer,C,C
Latrell Sprewell,SG,SF
Ryan Stack,C,PF
Jerry Stackhouse,SG,SG
John Starks,PG,SG
John Starks,PG,SG
John Starks,PG,SG
Vladimir Stepania,C,C
Joe Stephens,SF,SF
Michael Stewart,C,C
Bryant Stith,SG,SG
John Stockton,PG,PG
Peja Stojakovic,SF,SF
Damon Stoudamire,PG,PG
Erick Strickland,SG,SG
Mark Strickland,PF,SF
Rod Strickland,PG,PG
Derek Strong,PF,PF
Bob Sura,SG,SG
Wally Szczerbiak,SG,SF
Zan Tabak,C,C
Maurice Taylor,PF,PF
Jason Terry,PG,PG
John Thomas,C,C
Kenny Thomas,PF,PF
Kurt Thomas,PF,PF
Tim Thomas,SF,SF
Otis Thorpe,PF,PF
Robert Traylor,PF,PF
Gary Trent,PF,SF
Mirsad Turkcan,PF,PF
Nick Van,PG,PG
Keith Van,PF,PF
Jacque Vaughn,PG,PG
Loy Vaught,C,PF
Antoine Walker,SF,PF
Samaki Walker,PF,PF
Ben Wallace,C,PF
John Wallace,PF,SF
Rasheed Wallace,PF,PF
Rex Walters,PG,PG
Charlie Ward,PG,PG
Clarence Weatherspoon,PF,PF
Chris Webber,PF,PF
Bonzi Wells,SF,SF
David Wesley,PG,PG
Doug West,SF,SG
Mark West,C,C
Jahidi White,C,C
Chris Whitney,PG,PG
Aaron Williams,PF,PF
Alvin Williams,PG,PG
Eric Williams,SF,SF
Jason Williams,PG,PG
Jerome Williams,PF,PF
Lorenzo Williams,C,PF
Monty Williams,SF,SF
Scott Williams,C,C
Shammond Williams,PG,PG
Walt Williams,SF,SF
Corliss Williamson,SF,SF
Kevin Willis,PF,PF
Dedric Willoughby,PG,PG
Haywoode Workman,PG,PG
Haywoode Workman,PG,PG
Haywoode Workman,PG,PG
Metta World,SG,SF
Lorenzen Wright,PF,C
Tim Young,C,C
