,Predicted,Real
DeMarcus Cousins,PF,C
DeMarcus Cousins,PF,C
DeMarcus Cousins,PF,C
Robert Covington,SF,SF
Allen Crabbe,SF,SG
Jamal Crawford,SG,SG
Jordan Crawford,SG,SG
Jae Crowder,SF,SF
Dante Cunningham,SF,SF
Seth Curry,SG,PG
Stephen Curry,PG,PG
Troy Daniels,SG,SG
Anthony Davis,C,C
Deyonta Davis,C,C
Ed Davis,C,PF
Dewayne Dedmon,C,C
Sam Dekker,SF,SF
Malcolm Delaney,PG,PG
Matthew Dellavedova,PG,PG
Luol Deng,SF,SF
DeMar DeRozan,SG,SG
Cheick Diallo,C,PF
Boris Diaw,SG,PF
Gorgui Dieng,PF,PF
Spencer Dinwiddie,SG,PG
Toney Douglas,PG,PG
Goran Dragic,PG,PG
Andre Drummond,C,C
Jared Dudley,SF,PF
Mike Dunleavy,SG,SF
Mike Dunleavy,SG,SF
Mike Dunleavy,SG,SF
Kris Dunn,PG,PG
Kevin Durant,PF,SF
Henry Ellenson,PF,PF
Wayne Ellington,SG,SG
Monta Ellis,SG,SG
Joel Embiid,C,C
James Ennis,SF,SF
Tyler Ennis,PG,PG
Tyler Ennis,PG,PG
Tyler Ennis,PG,PG
Tyreke Evans,SG,SF
Tyreke Evans,PG,SF
Tyreke Evans,SG,SF
Dante Exum,SG,PG
Kenneth Faried,PF,PF
Derrick Favors,PF,PF
Kay Felder,PG,PG
Cristiano Felicio,PF,C
Raymond Felton,SG,PG
Yogi Ferrell,PG,PG
Yogi Ferrell,PG,PG
Yogi Ferrell,PG,PG
Dorian Finney-Smith,SF,PF
Bryn Forbes,SG,SG
Evan Fournier,SG,SG
Randy Foye,SG,SG
Tim Frazier,PG,PG
Channing Frye,PF,C
Danilo Gallinari,SF,SF
Langston Galloway,SG,PG
Langston Galloway,SG,PG
Langston Galloway,SG,PG
Marc Gasol,SF,C
Pau Gasol,C,C
Rudy Gay,SF,SF
Alonzo Gee,SF,SF
Paul George,SF,SF
Jonathan Gibson,SG,PG
Taj Gibson,PF,PF
Taj Gibson,PF,PF
Taj Gibson,SF,PF
Manu Ginobili,SG,SG
Rudy Gobert,C,C
Archie Goodwin,SG,SG
Archie Goodwin,SG,SG
Aaron Gordon,SF,SF
Eric Gordon,SG,SG
Marcin Gortat,C,C
Treveon Graham,SF,SG
Jerami Grant,SF,SF
Jerami Grant,SF,SF
Jerian Grant,SG,PG
Danny Green,SF,SG
Draymond Green,PG,PF
Gerald Green,SF,SF
JaMychal Green,PF,PF
Jeff Green,SG,PF
Blake Griffin,PF,PF
Justin Hamilton,PF,C
A.J. Hammons,C,C
Tim Hardaway,SG,SG
James Harden,PG,PG
Maurice Harkless,SF,SF
Montrezl Harrell,PF,C
Devin Harris,SG,PG
Gary Harris,SG,SG
Joe Harris,SF,SG
Tobias Harris,SG,PF
Andrew Harrison,SG,PG
Udonis Haslem,PF,C
Spencer Hawes,C,PF
Spencer Hawes,C,PF
Spencer Hawes,PF,PF
Gordon Hayward,SF,SF
Gerald Henderson,SG,SG
John Henson,C,C
Juan Hernangomez,PF,PF
Willy Hernangomez,PF,C
Mario Hezonja,SF,SF
Roy Hibbert,C,C
Roy Hibbert,C,C
Buddy Hield,SG,SG
Buddy Hield,SG,SG
Buddy Hield,SG,SG
Nene Hilario,PF,C
George Hill,SG,PG
Solomon Hill,SF,SF
Darrun Hilliard,SG,SG
Jrue Holiday,PG,PG
Justin Holiday,SG,SG
Rondae Hollis-Jefferson,PF,SF
Richaun Holmes,PF,C
Rodney Hood,SF,SG
Al Horford,PF,C
Dwight Howard,C,C
Marcelo Huertas,PG,PG
Kris Humphries,PF,PF
Serge Ibaka,C,PF
Serge Ibaka,C,PF
Serge Ibaka,C,PF
Andre Iguodala,SG,SF
Ersan Ilyasova,PF,PF
Ersan Ilyasova,PF,PF
Ersan Ilyasova,PF,PF
Joe Ingles,SG,SF
Brandon Ingram,SF,SF
Kyrie Irving,PG,PG
Pierre Jackson,PG,PG
Reggie Jackson,PG,PG
LeBron James,PG,SF
Al Jefferson,C,C
Richard Jefferson,SF,SF
Brandon Jennings,PG,PG
Brandon Jennings,PG,PG
Brandon Jennings,PG,PG
Jonas Jerebko,PF,PF
Amir Johnson,C,PF
James Johnson,SF,PF
Joe Johnson,SF,SF
Stanley Johnson,SF,SF
Tyler Johnson,SG,PG
Wesley Johnson,SF,SF
Nikola Jokic,PF,C
Damian Jones,C,C
Derrick Jones,SF,SF
James Jones,SG,SF
Terrence Jones,PF,PF
Terrence Jones,PF,PF
Tyus Jones,PG,PG
DeAndre Jordan,C,C
Cory Joseph,SG,SG
Frank Kaminsky,SF,C
Enes Kanter,PF,C
Ryan Kelly,SF,PF
Michael Kidd-Gilchrist,PF,SF
Sean Kilpatrick,SG,SG
Brandon Knight,SG,SG
Kyle Korver,SG,SG
Kyle Korver,SG,SG
Kyle Korver,SF,SG
Kosta Koufos,C,C
Mindaugas Kuzminskas,SF,SF
Skal Labissiere,PF,PF
Jeremy Lamb,PF,SG
Nicolas Laprovittola,PG,PG
Joffrey Lauvergne,PF,PF
Joffrey Lauvergne,PF,C
Zach LaVine,SG,SG
Ty Lawson,PG,PG
Jake Layman,SG,SF
Courtney Lee,SG,SG
David Lee,PF,PF
Alex Len,C,C
Kawhi Leonard,SG,SF
Meyers Leonard,PF,PF
Jon Leuer,PF,PF
Caris LeVert,SF,SF
DeAndre Liggins,SG,SG
DeAndre Liggins,SG,SG
Damian Lillard,SG,PG
Jeremy Lin,PG,PG
Shaun Livingston,SG,PG
Shawn Long,PF,C
Kevon Looney,PF,C
Brook Lopez,C,C
Robin Lopez,C,C
Kevin Love,PF,PF
Kyle Lowry,PG,PG
Timothe Luwawu-Cabarrot,SG,SF
Trey Lyles,SF,PF
Shelvin Mack,PG,PG
Ian Mahinmi,C,C
Thon Maker,C,C
Boban Marjanovic,C,C
Jarell Martin,PF,PF
Wesley Matthews,SG,SG
Luc Mbah,SF,SF
James Michael,SF,PF
Patrick McCaw,SG,SG
Sheldon McClellan,SG,SG
C.J. McCollum,SG,SG
T.J. McConnell,PG,PG
Chris McCullough,PF,PF
Chris McCullough,SF,PF
K.J. McDaniels,SF,SF
K.J. McDaniels,SF,SF
K.J. McDaniels,SF,SF
Doug McDermott,SF,SF
Doug McDermott,SF,SF
Doug McDermott,SF,SF
JaVale McGee,C,C
Rodney McGruder,SG,SG
Ben McLemore,SG,SG
Jordan McRae,SG,SG
Josh McRoberts,SF,PF
Jodie Meeks,SG,SG
Salah Mejri,C,C
Jordan Mickey,PF,PF
Khris Middleton,SG,SF
C.J. Miles,SG,SF
Mike Miller,PF,SF
Patty Mills,PG,PG
Paul Millsap,SF,PF
Nikola Mirotic,SF,PF
Greg Monroe,PF,C
E'Twaun Moore,SG,SG
Marcus Morris,SG,SF
Markieff Morris,SF,PF
Anthony Morrow,SG,SG
Anthony Morrow,SG,SG
Anthony Morrow,SG,SG
Donatas Motiejunas,SF,PF
Timofey Mozgov,C,C
Emmanuel Mudiay,SG,PG
Shabazz Muhammad,SF,SF
Dejounte Murray,PG,PG
Jamal Murray,SG,SG
Mike Muscala,PF,C
Larry Nance,PF,PF
Shabazz Napier,PG,PG
Maurice Ndour,SF,PF
Jameer Nelson,PG,PG
Raul Neto,PG,PG
Georges Niang,SF,PF
Andrew Nicholson,PF,PF
Andrew Nicholson,SF,PF
Andrew Nicholson,PF,PF
Joakim Noah,C,C
Nerlens Noel,C,C
Nerlens Noel,PF,C
Nerlens Noel,C,C
Lucas Nogueira,C,C
Dirk Nowitzki,PF,PF
Jusuf Nurkic,C,C
Jusuf Nurkic,C,C
Jusuf Nurkic,C,C
David Nwaba,SF,SG
Johnny O'Bryant,PF,PF
Kyle O'Quinn,C,C
Daniel Ochefu,PF,C
Jahlil Okafor,C,C
Victor Oladipo,SG,SG
Kelly Olynyk,PF,C
Kelly Oubre,SF,SF
Zaza Pachulia,C,C
Georgios Papagiannis,C,C
Jabari Parker,SF,PF
Tony Parker,PG,PG
Chandler Parsons,SF,SF
Patrick Patterson,SF,PF
Chris Paul,PG,PG
Adreian Payne,C,PF
Cameron Payne,PG,PG
Cameron Payne,PG,PG
Cameron Payne,SG,PG
Elfrid Payton,PG,PG
Gary Payton,SG,PG
Paul Pierce,PF,SF
Marshall Plumlee,PF,C
Mason Plumlee,C,C
Mason Plumlee,C,C
Mason Plumlee,C,C
Miles Plumlee,C,C
Miles Plumlee,C,C
Miles Plumlee,PF,C
Jakob Poeltl,C,C
Otto Porter,SF,SF
Bobby Portis,PF,PF
Kristaps Porzingis,C,PF
Dwight Powell,PF,C
Norman Powell,SG,SG
Alex Poythress,SF,PF
Ronnie Price,PG,PG
Tim Quarterman,PG,SG
Chasson Randle,SG,PG
Chasson Randle,SG,PG
Chasson Randle,PG,PG
Julius Randle,PF,PF
Zach Randolph,PF,PF
J.J. Redick,SG,SG
Willie Reed,C,C
Josh Richardson,SG,SG
Malachi Richardson,SG,SG
Austin Rivers,SG,SG
Andre Roberson,SF,SF
Brian Roberts,PG,PG
Glenn Robinson,SF,SF
Thomas Robinson,PF,PF
Sergio Rodriguez,PG,PG
Rajon Rondo,PG,PG
Derrick Rose,SG,PG
Terrence Ross,SG,SF
Terrence Ross,SG,SF
Terrence Ross,SG,SF
Terry Rozier,SG,PG
Ricky Rubio,PG,PG
Damjan Rudez,SG,SF
Brandon Rush,SF,SG
D'Angelo Russell,PG,PG
Domantas Sabonis,PF,PF
Dario Saric,PF,PF
Tomas Satoransky,SG,SG
Dennis Schroder,PG,PG
Luis Scola,PF,PF
Mike Scott,SF,PF
Thabo Sefolosha,SF,SF
Wayne Selden,SG,SG
Wayne Selden,SG,SG
Kevin Seraphin,C,PF
Ramon Sessions,PG,PG
Iman Shumpert,SG,SG
Pascal Siakam,C,PF
Jonathon Simmons,SG,SG
Kyle Singler,SF,SF
Marcus Smart,PG,SG
Ish Smith,PG,PG
J.R. Smith,SG,SG
Jason Smith,C,C
Tony Snell,SF,SG
Marreese Speights,C,C
Tiago Splitter,PF,C
Nik Stauskas,SG,SG
Lance Stephenson,PG,SG
Lance Stephenson,PG,SG
Lance Stephenson,PG,SG
Rodney Stuckey,SG,PG
Jared Sullinger,PF,PF
Jeff Teague,PG,PG
Mirza Teletovic,SF,PF
Garrett Temple,SG,SG
Jason Terry,SG,SG
Isaiah Thomas,PG,PG
Lance Thomas,SF,PF
Hollis Thompson,SF,SG
Hollis Thompson,SF,SG
Hollis Thompson,SF,SG
Klay Thompson,SG,SG
Tristan Thompson,C,C
Marcus Thornton,SG,SG
Anthony Tolliver,SF,PF
Karl-Anthony Towns,PF,C
P.J. Tucker,SF,SF
P.J. Tucker,SF,SF
P.J. Tucker,SF,SF
Evan Turner,SG,SF
Myles Turner,C,C
Beno Udrih,PG,PG
Tyler Ulis,PG,PG
Jarrod Uthoff,SF,PF
Jonas Valanciunas,C,C
Denzel Valentine,SF,SG
Fred VanVleet,PG,PG
Anderson Varejao,C,C
Rashad Vaughn,SG,SG
Noah Vonleh,PF,PF
Nikola Vucevic,PF,C
Sasha Vujacic,SG,SG
Dwyane Wade,SG,SG
Dion Waiters,SG,SG
Kemba Walker,SG,PG
John Wall,PG,PG
Taurean Waller-Prince,SG,SF
T.J. Warren,SF,SF
C.J. Watson,SG,PG
Briante Weber,PG,PG
Briante Weber,SG,PG
David West,C,C
Russell Westbrook,PG,PG
Okaro White,SF,PF
Isaiah Whitehead,SG,PG
Hassan Whiteside,C,C
Andrew Wiggins,SG,SF
C.J. Wilcox,SG,SG
Alan Williams,C,C
Deron Williams,PG,PG
Deron Williams,PG,PG
Deron Williams,PG,PG
Derrick Williams,SF,PF
Derrick Williams,SF,PF
Derrick Williams,SG,PF
Lou Williams,SG,SG
Lou Williams,SG,SG
Lou Williams,SG,SG
Marvin Williams,SF,PF
Reggie Williams,SG,SF
Troy Williams,SG,SF
Troy Williams,SG,SF
Troy Williams,SF,SF
Justise Winslow,SF,SF
Jeff Withey,C,C
Christian Wood,PF,PF
Metta World,SG,SF
Brandan Wright,C,PF
Delon Wright,SG,PG
James Young,SG,SG
Joe Young,SG,PG
Nick Young,SG,SG
Thaddeus Young,SF,PF
Cody Zeller,C,PF
Tyler Zeller,C,C
Stephen Zimmerman,C,C
Paul Zipser,SF,SF
Ivica Zubac,C,C
